time;TNn;TXx
1947;-17.0;40.2
1948;-11.8;34.8
1949;-8.9;38.0
1950;-7.0;39.8
1951;-4.2;33.8
1952;-5.8;37.0
1953;-7.0;33.0
1954;-11.9;33.1
1955;-6.4;34.0
1956;-19.2;33.1
1957;-6.9;34.6
1958;-5.3;34.4
1959;-6.2;33.0
1960;-10.0;34.2
1961;-7.2;34.5
1962;-12.0;35.1
1963;-15.8;34.1
1964;-7.0;36.7
1965;-5.6;34.6
1966;-8.1;35.3
1967;-7.4;38.0
1968;-7.4;35.6
1969;-7.2;34.3
1970;-8.2;34.8
1971;-12.4;36.1
1972;-4.0;34.2
1973;-7.3;36.5
1974;-3.3;35.6
1975;-4.1;37.4
1976;-5.1;36.7
1977;-5.3;31.1
1978;-8.1;34.5
1979;-6.2;34.9
1980;-6.2;33.6
1981;-4.5;34.3
1982;-1.9;40.2
1983;-5.7;40.1
1984;-4.2;37.4
1985;-18.6;36.8
1986;-9.3;36.9
1987;-13.6;39.3
1988;-7.5;34.0
1989;-4.4;35.5
1990;-6.2;37.8
1991;-5.8;37.8
1992;-4.3;36.1
1993;-6.4;34.8
1994;-4.8;35.9
1995;-6.3;34.8
1996;-6.1;34.0
1997;-3.4;35.2
1998;-7.0;37.8
1999;-5.6;36.4
2000;-5.9;34.2
2001;-9.7;36.9
2002;-3.2;34.1
2003;-6.5;40.7
2004;-4.4;37.8
2005;-8.4;35.2
2006;-5.0;38.3
2007;-6.9;36.2
2008;-4.5;36.1
2009;-5.3;38.9
2010;-7.6;40.0
2011;-6.5;39.5
2012;-12.5;37.4
2013;-6.2;36.9
2014;-5.0;33.8
2015;-4.7;36.9
2016;-2.3;35.5
2017;-6.7;38.3
2018;-6.9;35.8
2019;-5.3;40.2
2020;-2.8;38.2
